Country	Record	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	
Angola	PBA_GgCO2	8.079000e+03	7.719000e+03	9.446000e+03	1.029400e+04	1.070900e+04	9.882000e+03	6.669000e+03	1.078100e+04	1.283300e+04	1.279800e+04	1.292400e+04	1.195200e+04	1.150300e+04	1.191600e+04	1.202600e+04	1.276100e+04	1.289400e+04	1.313200e+04	1.357700e+04	1.372900e+04	1.040200e+04	1.090000e+04	1.119100e+04	1.123900e+04	1.066900e+04	1.193000e+04	1.436400e+04	1.502200e+04	1.551200e+04	1.650900e+04	1.516000e+04	1.493600e+04	1.477000e+04	1.620600e+04	1.629900e+04	1.483500e+04	1.575900e+04	1.637600e+04	1.863700e+04	2.048300e+04	2.322100e+04	2.321200e+04	2.218400e+04	2.201200e+04	2.249700e+04	2.302500e+04	
Angola	CBA_GgCO2	5.132983e+03	4.867094e+03	5.843868e+03	5.599619e+03	4.724908e+03	3.473347e+03	2.157604e+03	2.548041e+03	3.505186e+03	3.124256e+03	3.105987e+03	2.683314e+03	2.733876e+03	2.895635e+03	2.650191e+03	3.607764e+03	3.968048e+03	3.602303e+03	4.024909e+03	4.128410e+03	4.233582e+03	5.196244e+03	6.158906e+03	5.712133e+03	5.548000e+03	3.891751e+03	4.345591e+03	2.893840e+03	4.080252e+03	4.170740e+03	3.583735e+03	5.366272e+03	5.563288e+03	7.379564e+03	8.199811e+03	8.689707e+03	8.967038e+03	1.148613e+04	1.451492e+04	1.718252e+04	1.621256e+04	1.630456e+04	1.602452e+04	1.695463e+04	1.738706e+04	1.752170e+04	
Angola	PBA_MtCO2perCap	1.282184e+00	1.199041e+00	1.433896e+00	1.524988e+00	1.546705e+00	1.390395e+00	9.136232e-01	1.437214e+00	1.662922e+00	1.609228e+00	1.573804e+00	1.406457e+00	1.306044e+00	1.305340e+00	1.273277e+00	1.309464e+00	1.286351e+00	1.276723e+00	1.287541e+00	1.268738e+00	9.347701e-01	9.501251e-01	9.444702e-01	9.177102e-01	8.435004e-01	9.146903e-01	1.069959e+00	1.088403e+00	1.093341e+00	1.130600e+00	1.006731e+00	9.597250e-01	9.168392e-01	9.709194e-01	9.423839e-01	8.281722e-01	8.499327e-01	8.536322e-01	9.392584e-01	9.981919e-01	1.094300e+00	1.057866e+00	9.778877e-01	9.387500e-01	9.285720e-01	9.201912e-01	
Angola	CBA_MtCO2perCap	8.146339e-01	7.560363e-01	8.870949e-01	8.295467e-01	6.824205e-01	4.886990e-01	2.955822e-01	3.396790e-01	4.542080e-01	3.928458e-01	3.782277e-01	3.157602e-01	3.104028e-01	3.172028e-01	2.805944e-01	3.702090e-01	3.958666e-01	3.502240e-01	3.816924e-01	3.815186e-01	3.804485e-01	4.529433e-01	5.197841e-01	4.664190e-01	4.386296e-01	2.983862e-01	3.236984e-01	2.096702e-01	2.875906e-01	2.856283e-01	2.379853e-01	3.448143e-01	3.453379e-01	4.421179e-01	4.741009e-01	4.851078e-01	4.836208e-01	5.987380e-01	7.315157e-01	8.373507e-01	7.640241e-01	7.430651e-01	7.063729e-01	7.230674e-01	7.176575e-01	7.002525e-01	
Angola	Population	6300969	6437645	6587647	6750215	6923749	7107334	7299508	7501320	7717139	7952882	8211950	8497950	8807511	9128655	9444918	9745209	10023700	10285712	10544904	10820992	11127870	11472173	11848971	12246786	12648483	13042666	13424813	13801868	14187710	14601983	15058638	15562791	16109696	16691395	17295500	17912942	18541467	19183907	19842251	20520103	21219954	21942296	22685632	23448202	24227524	25021974	
Angola	PBA_GgCO2PerBnUSDGDP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.907769e+03	1.927653e+03	1.963234e+03	2.029761e+03	1.368324e+03	1.036733e+03	0	0	0	1.720252e+03	2.445030e+03	1.908339e+03	1.963733e+03	2.406667e+03	2.683109e+03	1.660526e+03	1.671429e+03	1.181851e+03	1.142156e+03	8.298521e+02	5.254357e+02	3.771045e+02	2.709064e+02	2.213998e+02	2.713254e+02	2.815659e+02	2.229436e+02	1.922390e+02	1.762201e+02	1.774533e+02	2.243562e+02	
Angola	CBA_GgCO2PerBnUSDGDP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.393608e+02	5.932232e+02	5.385444e+02	6.017239e+02	4.114649e+02	4.219470e+02	0	0	0	8.945501e+02	7.976068e+02	5.773364e+02	3.782938e+02	6.330460e+02	6.778454e+02	3.925387e+02	6.005186e+02	4.451575e+02	5.200924e+02	4.174876e+02	3.077777e+02	2.145765e+02	1.900139e+02	1.724312e+02	2.276060e+02	1.965851e+02	1.565999e+02	1.388630e+02	1.357326e+02	1.371468e+02	1.707319e+02	
Angola	GDP_MilUSD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.688963e+00	6.688963e+00	6.688963e+00	6.688963e+00	1.003344e+01	1.003344e+01	0	0	0	6.202000e+00	4.879286e+00	7.526964e+00	7.649716e+00	6.445428e+00	6.152937e+00	9.129635e+00	8.936064e+00	1.249735e+01	1.418895e+01	1.964085e+01	2.823371e+01	4.178948e+01	6.044892e+01	8.417803e+01	7.549238e+01	8.247091e+01	1.041160e+02	1.153980e+02	1.249120e+02	1.267770e+02	1.026270e+02	
Antigua	PBA_GgCO2	1.480000e+02	1.560000e+02	1.970000e+02	2.160000e+02	1.810000e+02	2.260000e+02	1.880000e+02	2.110000e+02	2.000000e+02	1.900000e+02	1.880000e+02	1.940000e+02	2.390000e+02	1.610000e+02	1.920000e+02	1.710000e+02	1.880000e+02	2.100000e+02	2.420000e+02	2.400000e+02	2.440000e+02	2.460000e+02	2.450000e+02	2.310000e+02	2.480000e+02	2.580000e+02	2.620000e+02	2.550000e+02	2.510000e+02	2.560000e+02	2.780000e+02	2.930000e+02	2.840000e+02	2.970000e+02	3.100000e+02	3.050000e+02	3.030000e+02	3.210000e+02	3.220000e+02	3.300000e+02	3.520000e+02	3.710000e+02	3.720000e+02	3.840000e+02	3.940000e+02	4.020000e+02	
Antigua	CBA_GgCO2	1.309045e+02	1.323595e+02	1.731319e+02	2.197786e+02	1.988540e+02	2.294819e+02	2.007244e+02	2.389579e+02	3.182660e+02	2.859519e+02	3.426694e+02	3.606695e+02	3.801386e+02	3.226051e+02	4.054181e+02	4.300865e+02	4.804073e+02	5.221270e+02	5.563293e+02	6.063341e+02	5.932546e+02	6.683337e+02	7.434128e+02	7.381115e+02	7.546039e+02	7.517975e+02	7.466875e+02	6.621454e+02	6.391444e+02	6.538007e+02	6.117292e+02	6.601944e+02	6.407911e+02	6.790423e+02	7.009645e+02	7.262842e+02	7.764458e+02	8.194274e+02	8.021431e+02	7.195478e+02	7.164137e+02	7.290330e+02	7.161307e+02	7.304704e+02	7.502245e+02	7.378570e+02	
